Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/17/04
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/17/04
Arizzano;103003;-1;7;3.4800000190734863;2020/17/04
Arola;103004;-1;1;4.119999885559082;2020/17/04
Aurano;103005;-1;1;9.710000038146973;2020/17/04
Baceno;103006;-1;0;0;2020/17/04
Bannio Anzino;103007;-1;0;0;2020/17/04
Baveno;103008;-1;9;1.8300000429153442;2020/17/04
Bee;103009;-1;2;2.6500000953674316;2020/17/04
Belgirate;103010;-1;19;37.77000045776367;2020/17/04
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/17/04
Bognanco;103012;-1;1;5.320000171661377;2020/17/04
Brovello-Carpugnino;103013;-1;0;0;2020/17/04
Calasca-Castiglione;103014;-1;0;0;2020/17/04
Cambiasca;103015;-1;11;6.78000020980835;2020/17/04
Cannero Riviera;103016;-1;1;1.100000023841858;2020/17/04
Cannobio;103017;-1;5;0.9800000190734863;2020/17/04
Caprezzo;103018;-1;0;0;2020/17/04
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/17/04
Ceppo Morelli;103021;-1;0;0;2020/17/04
Cesara;103022;-1;0;0;2020/17/04
Cossogno;103023;-1;9;13.25;2020/17/04
Craveggia;103024;-1;2;2.619999885559082;2020/17/04
Crevoladossola;103025;-1;4;0.8700000047683716;2020/17/04
Crodo;103026;-1;0;0;2020/17/04
Domodossola;103028;-1;44;2.4200000762939453;2020/17/04
Druogno;103029;-1;4;3.759999990463257;2020/17/04
Formazza;103031;-1;0;0;2020/17/04
Germagno;103032;-1;1;5.260000228881836;2020/17/04
Ghiffa;103033;-1;9;3.819999933242798;2020/17/04
Gignese;103034;-1;2;1.909999966621399;2020/17/04
Gravellona Toce;103035;-1;32;4.099999904632568;2020/17/04
Gurro;103036;-1;0;0;2020/17/04
Intragna;103037;-1;0;0;2020/17/04
Loreglia;103038;-1;0;0;2020/17/04
Macugnaga;103039;-1;1;1.850000023841858;2020/17/04
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/17/04
Malesco;103041;-1;0;0;2020/17/04
Masera;103042;-1;1;0.6800000071525574;2020/17/04
Massiola;103043;-1;0;0;2020/17/04
Mergozzo;103044;-1;7;3.2300000190734863;2020/17/04
Miazzina;103045;-1;7;18.31999969482422;2020/17/04
Montecrestese;103046;-1;2;1.5700000524520874;2020/17/04
Montescheno;103047;-1;7;17.860000610351562;2020/17/04
Nonio;103048;-1;4;4.650000095367432;2020/17/04
Oggebbio;103049;-1;4;4.579999923706055;2020/17/04
Omegna;103050;-1;117;7.699999809265137;2020/17/04
Ornavasso;103051;-1;6;1.75;2020/17/04
Pallanzeno;103052;-1;2;1.7400000095367432;2020/17/04
Piedimulera;103053;-1;5;3.2899999618530273;2020/17/04
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/17/04
Premeno;103055;-1;6;8.220000267028809;2020/17/04
Premia;103056;-1;1;1.809999942779541;2020/17/04
Premosello-Chiovenda;103057;-1;58;29.8799991607666;2020/17/04
Quarna Sopra;103058;-1;0;0;2020/17/04
