Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;-1;2020/14/04
Anzola d'Ossola;103002;-1;1;-1;2020/14/04
Arizzano;103003;-1;8;-1;2020/14/04
Arola;103004;-1;1;-1;2020/14/04
Aurano;103005;-1;1;-1;2020/14/04
Baceno;103006;-1;0;-1;2020/14/04
Bannio Anzino;103007;-1;0;-1;2020/14/04
Baveno;103008;-1;8;-1;2020/14/04
Bee;103009;-1;2;-1;2020/14/04
Belgirate;103010;-1;18;-1;2020/14/04
Beura-Cardezza;103011;-1;5;-1;2020/14/04
Bognanco;103012;-1;1;-1;2020/14/04
Brovello-Carpugnino;103013;-1;0;-1;2020/14/04
Calasca-Castiglione;103014;-1;0;-1;2020/14/04
Cambiasca;103015;-1;11;-1;2020/14/04
Cannero Riviera;103016;-1;1;-1;2020/14/04
Cannobio;103017;-1;5;-1;2020/14/04
Caprezzo;103018;-1;0;-1;2020/14/04
Casale Corte Cerro;103019;-1;9;-1;2020/14/04
Ceppo Morelli;103021;-1;0;-1;2020/14/04
Cesara;103022;-1;0;-1;2020/14/04
Cossogno;103023;-1;8;-1;2020/14/04
Craveggia;103024;-1;4;-1;2020/14/04
Crevoladossola;103025;-1;5;-1;2020/14/04
Crodo;103026;-1;0;-1;2020/14/04
Domodossola;103028;-1;44;-1;2020/14/04
Druogno;103029;-1;4;-1;2020/14/04
Formazza;103031;-1;1;-1;2020/14/04
Germagno;103032;-1;1;-1;2020/14/04
Ghiffa;103033;-1;9;-1;2020/14/04
Gignese;103034;-1;1;-1;2020/14/04
Gravellona Toce;103035;-1;35;-1;2020/14/04
Gurro;103036;-1;0;-1;2020/14/04
Intragna;103037;-1;0;-1;2020/14/04
Loreglia;103038;-1;0;-1;2020/14/04
Macugnaga;103039;-1;1;-1;2020/14/04
Madonna del Sasso;103040;-1;2;-1;2020/14/04
Malesco;103041;-1;0;-1;2020/14/04
Masera;103042;-1;2;-1;2020/14/04
Massiola;103043;-1;0;-1;2020/14/04
Mergozzo;103044;-1;6;-1;2020/14/04
Miazzina;103045;-1;7;-1;2020/14/04
Montecrestese;103046;-1;2;-1;2020/14/04
Montescheno;103047;-1;7;-1;2020/14/04
Nonio;103048;-1;4;-1;2020/14/04
Oggebbio;103049;-1;3;-1;2020/14/04
Omegna;103050;-1;117;-1;2020/14/04
Ornavasso;103051;-1;8;-1;2020/14/04
